linha,data,horario_previsto,horario_realizado,passageiros,status
010,2026-03-01,07:00,07:05,42,realizada
010,2026-03-01,08:00,08:00,55,realizada
010,2026-03-01,09:00,09:12,39,atrasada
020,2026-03-01,07:15,07:20,31,realizada
020,2026-03-01,08:15,08:40,47,atrasada
020,2026-03-01,09:15,09:10,28,realizada
030,2026-03-01,07:30,07:45,60,atrasada
030,2026-03-01,08:30,08:35,63,realizada
030,2026-03-01,09:30,09:55,58,atrasada
040,2026-03-01,07:45,07:45,20,realizada
040,2026-03-01,08:45,09:00,24,atrasada
040,2026-03-01,09:45,09:50,22,realizada
